id	x	y
M_cpd15557_c0	7750.0	15175.0
M_cpd00203_c0	5425.0	9175.0
R_rxn00782_LSQBKT_c0_RSQBKT_	5325.0	9175.0
M_cpd00332_c0	11150.0	225.0
R_rxn01607_LSQBKT_c0_RSQBKT_	11150.0	25.0
M_cpd00812_c0	11325.0	25.0
R_rxn01000_LSQBKT_c0_RSQBKT_	7425.0	14475.0
M_cpd00143_c0	7425.0	14375.0
M_cpd03560_c0	12575.0	225.0
R_rxn00675_LSQBKT_c0_RSQBKT_	12775.0	225.0
M_cpd02894_c0	875.0	4500.0
R_rxn02305_LSQBKT_c0_RSQBKT_	875.0	4300.0
M_cpd02654_c0	875.0	4150.0
M_cpd00793_c0	1125.0	4300.0
M_cpd01727_c0	2350.0	6700.0
R_rxn02296_LSQBKT_c0_RSQBKT_	2450.0	6700.0
M_cpd00782_c0	2450.0	6600.0
M_cpd11585_c0	11450.0	22675.0
R_rxn12641_LSQBKT_c0_RSQBKT_	11450.0	22575.0
M_cpd15754_c0	21450.0	125.0
R_rxn10315_LSQBKT_c0_RSQBKT_	21450.0	25.0
M_cpd15772_c0	21550.0	25.0
R_rxn00711_LSQBKT_c0_RSQBKT_	8600.0	11600.0
M_cpd15748_c0	21750.0	125.0
R_rxn10309_LSQBKT_c0_RSQBKT_	21750.0	25.0
M_cpd15766_c0	21850.0	25.0
M_cpd11593_c0	11700.0	22675.0
R_rxn12633_LSQBKT_c0_RSQBKT_	11700.0	22575.0
M_cpd11440_c0	22050.0	125.0
R_rxn05250_LSQBKT_c0_RSQBKT_	22050.0	25.0
M_cpd11441_c0	22150.0	25.0
M_cpd03666_c0	12150.0	225.0
R_rxn03174_LSQBKT_c0_RSQBKT_	12150.0	75.0
M_cpd00100_c0	22350.0	125.0
R_rxn00763_LSQBKT_c0_RSQBKT_	22350.0	25.0
M_cpd00448_c0	22450.0	25.0
M_cpd00638_c0	1900.0	12875.0
R_rxn00138_LSQBKT_c0_RSQBKT_	1900.0	12975.0
M_cpd02921_c0	9975.0	5950.0
R_rxn03136_LSQBKT_c0_RSQBKT_	10075.0	5950.0
M_cpd02851_c0	10200.0	5950.0
R_rxn05165_LSQBKT_c0_RSQBKT_	3725.0	1925.0
M_cpd00142_c0	11350.0	300.0
R_rxn00988_LSQBKT_c0_RSQBKT_	11250.0	300.0
M_cpd00279_c0	11250.0	400.0
R_rxn05236_LSQBKT_c0_RSQBKT_	3275.0	8525.0
R_rxn02835_LSQBKT_c0_RSQBKT_	10275.0	5800.0
M_cpd00216_c0	3825.0	17650.0
R_rxn00726_LSQBKT_c0_RSQBKT_	3400.0	17750.0
M_cpd00093_c0	3300.0	17750.0
R_rxn03147_LSQBKT_c0_RSQBKT_	9725.0	5950.0
M_cpd01017_c0	5725.0	2275.0
R_rxn00650_LSQBKT_c0_RSQBKT_	5725.0	3325.0
M_cpd00449_c0	22650.0	125.0
R_rxn01241_LSQBKT_c0_RSQBKT_	22650.0	25.0
M_cpd00213_c0	22750.0	25.0
M_cpd15686_c0	14075.0	125.0
R_rxn10229_LSQBKT_c0_RSQBKT_	14075.0	25.0
M_cpd15692_c0	14175.0	25.0
R_rxn00776_LSQBKT_c0_RSQBKT_	8950.0	11500.0
M_cpd00859_c0	9050.0	11500.0
M_cpd11580_c0	11950.0	22675.0
R_rxn12646_LSQBKT_c0_RSQBKT_	11950.0	22575.0
R_rxn09296_LSQBKT_c0_RSQBKT_	3125.0	8450.0
M_cpd00025_c0	3125.0	8350.0
M_cpd00932_c0	3700.0	8875.0
R_rxn01255_LSQBKT_c0_RSQBKT_	3700.0	10150.0
M_cpd03049_c0	1350.0	4650.0
R_rxn03194_LSQBKT_c0_RSQBKT_	1775.0	4650.0
M_cpd00094_c0	1875.0	4650.0
M_cpd00498_c0	1775.0	5975.0
M_cpd00056_c0	800.0	4550.0
M_cpd15679_c0	18925.0	125.0
R_rxn10222_LSQBKT_c0_RSQBKT_	18925.0	25.0
M_cpd15685_c0	19100.0	25.0
M_cpd00735_c0	6300.0	16950.0
R_rxn11938_LSQBKT_c0_RSQBKT_	6300.0	17050.0
M_cpd00643_c0	6200.0	17050.0
M_cpd00774_c0	1950.0	20050.0
R_rxn02287_LSQBKT_c0_RSQBKT_	1950.0	19900.0
M_cpd00957_c0	4075.0	10700.0
R_rxn02475_LSQBKT_c0_RSQBKT_	4075.0	10800.0
R_rxn00147_LSQBKT_c0_RSQBKT_	4925.0	8975.0
R_rxn02774_LSQBKT_c0_RSQBKT_	1400.0	19900.0
M_cpd00210_e0	22950.0	125.0
R_rxn05172_LSQBKT_c0_RSQBKT_	22950.0	25.0
M_cpd00210_c0	23050.0	25.0
R_rxn03057_LSQBKT_c0_RSQBKT_	975.0	6450.0
M_cpd02791_c0	975.0	6125.0
R_rxn01485_LSQBKT_c0_RSQBKT_	6950.0	10800.0
M_cpd00666_c0	8075.0	14775.0
R_rxn00245_LSQBKT_c0_RSQBKT_	8175.0	14775.0
R_rxn01629_LSQBKT_c0_RSQBKT_	1625.0	20175.0
M_cpd02345_c0	1800.0	20175.0
M_cpd00528_c0	16175.0	100.0
R_rxn06874_LSQBKT_c0_RSQBKT_	16175.0	0.0
M_cpd00649_c0	5025.0	16825.0
R_rxn06299_LSQBKT_c0_RSQBKT_	5775.0	16900.0
M_cpd00792_c0	5775.0	17025.0
R_rxn05313_LSQBKT_c0_RSQBKT_	3450.0	1400.0
R_rxn00966_LSQBKT_c0_RSQBKT_	3900.0	17475.0
M_cpd00136_c0	3900.0	17575.0
R_rxn00785_LSQBKT_c0_RSQBKT_	6025.0	10900.0
M_cpd02678_c0	10050.0	6200.0
R_rxn03084_LSQBKT_c0_RSQBKT_	9800.0	6200.0
R_rxn00011_LSQBKT_c0_RSQBKT_	1350.0	4100.0
M_cpd00492_c0	12200.0	22675.0
R_rxn00292_LSQBKT_c0_RSQBKT_	12200.0	22575.0
M_cpd11431_c0	100.0	22700.0
R_rxn05252_LSQBKT_c0_RSQBKT_	100.0	22600.0
M_cpd11432_c0	200.0	22600.0
M_cpd00053_e0	12450.0	22675.0
R_rxn05155_LSQBKT_c0_RSQBKT_	12450.0	22575.0
M_cpd00298_c0	7100.0	8275.0
R_rxn01513_LSQBKT_c0_RSQBKT_	7200.0	8275.0
R_rxn02476_LSQBKT_c0_RSQBKT_	4400.0	8875.0
M_cpd02030_c0	4400.0	9800.0
M_cpd00322_c0	950.0	14225.0
R_rxn01575_LSQBKT_c0_RSQBKT_	950.0	14325.0
M_cpd15423_c0	14425.0	125.0
R_rxn09206_LSQBKT_c0_RSQBKT_	14425.0	25.0
M_cpd15553_c0	14525.0	25.0
M_cpd00540_e0	400.0	22700.0
R_rxn05181_LSQBKT_c0_RSQBKT_	400.0	22600.0
M_cpd00540_c0	500.0	22600.0
M_cpd00251_c0	9125.0	11425.0
R_rxn00775_LSQBKT_c0_RSQBKT_	9125.0	11325.0
R_rxn00364_LSQBKT_c0_RSQBKT_	10700.0	22675.0
M_cpd00090_c0	14875.0	25.0
R_rxn00515_LSQBKT_c0_RSQBKT_	14775.0	25.0
M_cpd00068_c0	14775.0	125.0
M_cpd01587_c0	700.0	22700.0
R_rxn01025_LSQBKT_c0_RSQBKT_	700.0	22600.0
M_cpd00151_c0	800.0	22600.0
R_rxn02186_LSQBKT_c0_RSQBKT_	1625.0	21125.0
R_rxn10227_LSQBKT_c0_RSQBKT_	17825.0	125.0
M_cpd15690_c0	17725.0	125.0
M_cpd15605_c0	1625.0	13200.0
R_rxn12846_LSQBKT_c0_RSQBKT_	1525.0	13200.0
M_cpd00066_c0	1525.0	13300.0
R_rxn05201_LSQBKT_c0_RSQBKT_	9475.0	12250.0
M_cpd00226_e0	9475.0	12150.0
M_cpd00226_c0	9575.0	12250.0
R_rxn02789_LSQBKT_c0_RSQBKT_	875.0	21475.0
M_cpd01710_c0	975.0	21475.0
M_cpd00202_c0	1775.0	13500.0
R_rxn00830_LSQBKT_c0_RSQBKT_	1775.0	13400.0
M_cpd01311_c0	2200.0	6550.0
R_rxn08180_LSQBKT_c0_RSQBKT_	2200.0	6825.0
M_cpd00074_c0	2300.0	6825.0
M_cpd03091_c0	2275.0	6900.0
M_cpd00104_c0	2200.0	6950.0
M_cpd02375_c0	9775.0	16675.0
R_rxn00800_LSQBKT_c0_RSQBKT_	9775.0	16775.0
R_rxn05234_LSQBKT_c0_RSQBKT_	2975.0	8375.0
M_cpd00241_c0	1100.0	8375.0
M_cpd00282_c0	8675.0	12000.0
R_rxn01465_LSQBKT_c0_RSQBKT_	8775.0	12000.0
M_cpd01324_c0	10200.0	5225.0
R_rxn00863_LSQBKT_c0_RSQBKT_	10200.0	5400.0
M_cpd00119_c0	10300.0	5400.0
M_cpd01080_c0	7925.0	15325.0
R_rxn09449_LSQBKT_c0_RSQBKT_	8025.0	15325.0
M_cpd00327_c0	8025.0	15425.0
R_rxn03436_LSQBKT_c0_RSQBKT_	1775.0	6075.0
M_cpd15522_c0	14525.0	225.0
R_rxn08307_LSQBKT_c0_RSQBKT_	14525.0	125.0
M_cpd10515_e0	325.0	19050.0
R_rxn05555_LSQBKT_c0_RSQBKT_	425.0	19050.0
M_cpd00641_c0	10300.0	5325.0
R_rxn02159_LSQBKT_c0_RSQBKT_	10300.0	5225.0
R_rxn00727_LSQBKT_c0_RSQBKT_	3300.0	17650.0
M_cpd08928_c0	1000.0	22700.0
R_rxn04385_LSQBKT_c0_RSQBKT_	1000.0	22600.0
M_cpd02547_c0	1100.0	22600.0
